User Input,llm_action,llm_product,llm_quantity,Parsing Status,Raw Response
Add 19 juice please,add,juice,19,success,"{""action"": ""add"", ""product"": ""juice"", ""quantity"": 19}"
Remove 9 bulbs please,remove,bulbs,9,success,"{""action"": ""remove"", ""product"": ""bulbs"", ""quantity"": 9}"
Please add 9 wrap,add,wrap,9,success,"{""action"": ""add"", ""product"": ""wrap"", ""quantity"": 9}"
I need 16 mozzarella added,add,mozzarella,16,success,"{""action"": ""add"", ""product"": ""mozzarella"", ""quantity"": 16}"
Take away 5 more avocados,remove,avocados,5,success,"{""action"": ""remove"", ""product"": ""avocados"", ""quantity"": 5}"
Add 9 packs of pasta,Add,pasta,9,success,"{""action"": ""Add"", ""product"": ""pasta"", ""quantity"": 9}"
I want to take out 10 butter,remove,butter,10,success,"{""action"": ""remove"", ""product"": ""butter"", ""quantity"": 10}"
I need 5 salmon added,add,salmon,5,success,"{""action"": ""add"", ""product"": ""salmon"", ""quantity"": 5}"
Add 2 more apples,add,apples,2,success,"{""action"": ""add"", ""product"": ""apples"", ""quantity"": 2}"
Can you add 19 toothpaste,add,toothpaste,19,success,"{""action"": ""add"", ""product"": ""toothpaste"", ""quantity"": 19}"
Throw in 12 butter,add,butter,12,success,"{""action"": ""add"", ""product"": ""butter"", ""quantity"": 12}"
Please take away 3 paper,remove,paper,3,success,"{""action"": ""remove"", ""product"": ""paper"", ""quantity"": 3}"
Remove 20 potatoes,remove,potatoes,20,success,"{""action"": ""remove"", ""product"": ""potatoes"", ""quantity"": 20}"
Need 20 bellpeppers,add,bellpeppers,20,success,"{""action"": ""add"", ""product"": ""bellpeppers"", ""quantity"": 20}"
Remove 15 packs of coffee,remove,coffee,15,success,"{""action"": ""remove"", ""product"": ""coffee"", ""quantity"": 15}"
I'd like to remove 12 yogurt,remove,yogurt,12,success,"{""action"": ""remove"", ""product"": ""yogurt"", ""quantity"": 12}"
Can you take out 20 wrap,remove,wrap,20,success,"{""action"": ""remove"", ""product"": ""wrap"", ""quantity"": 20}"
Put 12 granola in my cart,add,granola,12,success,"{""action"": ""add"", ""product"": ""granola"", ""quantity"": 12}"
Remove 9 packs of water,remove,water,9,success,"{""action"": ""remove"", ""product"": ""water"", ""quantity"": 9}"
I need to remove 19 bread,remove,bread,19,success,"{""action"": ""remove"", ""product"": ""bread"", ""quantity"": 19}"
Throw in 14 eggplant,add,eggplant,14,success,"{""action"": ""add"", ""product"": ""eggplant"", ""quantity"": 14}"
Can I get 3 toothpaste,add,toothpaste,3,success,"{""action"": ""add"", ""product"": ""toothpaste"", ""quantity"": 3}"
I'd like to remove 4 blueberries,remove,blueberries,4,success,"{""action"": ""remove"", ""product"": ""blueberries"", ""quantity"": 4}"
Include 1 batteries in my order,add,batteries,1,success,"{""action"": ""add"", ""product"": ""batteries"", ""quantity"": 1}"
Please delete 10 yogurt,delete,yogurt,10,success,"{""action"": ""delete"", ""product"": ""yogurt"", ""quantity"": 10}"
I need 16 soap,add,soap,16,success,"{""action"": ""add"", ""product"": ""soap"", ""quantity"": 16}"
Add 16 packs of avocados,add,avocados,16,success,"{""action"": ""add"", ""product"": ""avocados"", ""quantity"": 16}"
Include 16 tuna,add,tuna,16,success,"{""action"": ""add"", ""product"": ""tuna"", ""quantity"": 16}"
Add 20 of kibble,add,kibble,20,success,"{""action"": ""add"", ""product"": ""kibble"", ""quantity"": 20}"
I don't need 9 quinoa,remove,quinoa,9,success,"{
  ""action"": ""remove"",
  ""product"": ""quinoa"",
  ""quantity"": 9
}"
Throw in 15 flour,add,flour,15,success,"{
  ""action"": ""add"",
  ""product"": ""flour"",
  ""quantity"": 15
}"
I want 17 avocados,add,avocados,17,success,"{""action"": ""add"", ""product"": ""avocados"", ""quantity"": 17}"
Get rid of 15 sunfloweroil,remove,sunfloweroil,15,success,"{""action"": ""remove"", ""product"": ""sunfloweroil"", ""quantity"": 15}"
I'd like to add 6 cola,add,cola,6,success,"{""action"": ""add"", ""product"": ""cola"", ""quantity"": 6}"
Please grab 5 blueberries,add,blueberries,5,success,"{""action"": ""add"", ""product"": ""blueberries"", ""quantity"": 5}"
Take away 9 more limes,remove,limes,9,success,"{""action"": ""remove"", ""product"": ""limes"", ""quantity"": 9}"
Put in 20 litter,add,litter,20,success,"{""action"": ""add"", ""product"": ""litter"", ""quantity"": 20}"
Can you take out 17 rice,remove,rice,17,success,"{""action"": ""remove"", ""product"": ""rice"", ""quantity"": 17}"
Delete 19 soap from my cart,remove,soap,19,success,"{""action"": ""remove"", ""product"": ""soap"", ""quantity"": 19}"
Remove 13 packs of towels,remove,towels,13,success,"{
  ""action"": ""remove"",
  ""product"": ""towels"",
  ""quantity"": 13
}"
I'd like to remove 4 potatoes,remove,potatoes,4,success,"{""action"": ""remove"", ""product"": ""potatoes"", ""quantity"": 4}"
Drop 6 mushrooms,remove,mushrooms,6,success,"{""action"": ""remove"", ""product"": ""mushrooms"", ""quantity"": 6}"
Add 3 juice please,add,juice,3,success,"{""action"": ""add"", ""product"": ""juice"", ""quantity"": 3}"
I want 16 sunfloweroil,add,sunfloweroil,16,success,"{""action"": ""add"", ""product"": ""sunfloweroil"", ""quantity"": 16}"
Please take away 17 wash,remove,wash,17,success,"{""action"": ""remove"", ""product"": ""wash"", ""quantity"": 17}"
Need 14 spaghetti,add,spaghetti,14,success,"{""action"": ""add"", ""product"": ""spaghetti"", ""quantity"": 14}"
Add 2 oatmeal to my cart,add,oatmeal,2,success,"{""action"": ""add"", ""product"": ""oatmeal"", ""quantity"": 2}"
I'd like to remove 3 mango,remove,mango,3,success,"{""action"": ""remove"", ""product"": ""mango"", ""quantity"": 3}"
Please remove 10 soda,remove,soda,10,success,"{""action"": ""remove"", ""product"": ""soda"", ""quantity"": 10}"
I want 12 coffee,add,coffee,12,success,"{""action"": ""add"", ""product"": ""coffee"", ""quantity"": 12}"
Delete 8 blueberries from my cart,remove,blueberries,8,success,"{""action"": ""remove"", ""product"": ""blueberries"", ""quantity"": 8}"
Add 19 oliveoil to my cart,add,oliveoil,19,success,"{""action"": ""add"", ""product"": ""oliveoil"", ""quantity"": 19}"
Cancel 19 oliveoil,cancel,oliveoil,19,success,"{""action"": ""cancel"", ""product"": ""oliveoil"", ""quantity"": 19}"
Delete 20 brownsugar from my cart,remove,brownsugar,20,success,"{""action"": ""remove"", ""product"": ""brownsugar"", ""quantity"": 20}"
Add 2 eggs please,add,eggs,2,success,"{""action"": ""add"", ""product"": ""eggs"", ""quantity"": 2}"
I want to add 15 lemons,add,lemons,15,success,"{""action"": ""add"", ""product"": ""lemons"", ""quantity"": 15}"
I want to take out 6 cheddar,remove,cheddar,6,success,"{""action"": ""remove"", ""product"": ""cheddar"", ""quantity"": 6}"
Put 1 oatmeal in the shopping cart,add,oatmeal,1,success,"{""action"": ""add"", ""product"": ""oatmeal"", ""quantity"": 1}"
Please take away 13 pizza,remove,pizza,13,success,"{""action"": ""remove"", ""product"": ""pizza"", ""quantity"": 13}"
Add 13 milk,add,milk,13,success,"{""action"": ""add"", ""product"": ""milk"", ""quantity"": 13}"
Can you take out 8 wipes,remove,wipes,8,success,"{
  ""action"": ""remove"",
  ""product"": ""wipes"",
  ""quantity"": 8
}"
Could you remove 3 pizza,remove,pizza,3,success,"{""action"": ""remove"", ""product"": ""pizza"", ""quantity"": 3}"
Add 5 water for me,add,water,5,success,"{""action"": ""add"", ""product"": ""water"", ""quantity"": 5}"
Include 4 limes,add,limes,4,success,"{""action"": ""add"", ""product"": ""limes"", ""quantity"": 4}"
Can you take out 9 eggs,take out,eggs,9,success,"{""action"": ""take out"", ""product"": ""eggs"", ""quantity"": 9}"
Add 20 units of mushrooms,add,mushrooms,20,success,"{""action"": ""add"", ""product"": ""mushrooms"", ""quantity"": 20}"
I need 1 milk added,add,milk,1,success,"{""action"": ""add"", ""product"": ""milk"", ""quantity"": 1}"
I'd like to add 3 towels,add,towels,3,success,"{""action"": ""add"", ""product"": ""towels"", ""quantity"": 3}"
Take out 7 strawberries,remove,strawberries,7,success,"{""action"": ""remove"", ""product"": ""strawberries"", ""quantity"": 7}"
Please take away 6 spinach,remove,spinach,6,success,"{""action"": ""remove"", ""product"": ""spinach"", ""quantity"": 6}"
I want 20 yogurt,add,yogurt,20,success,"{
  ""action"": ""add"",
  ""product"": ""yogurt"",
  ""quantity"": 20
}"
Get rid of 13 tea,remove,tea,13,success,"{""action"": ""remove"", ""product"": ""tea"", ""quantity"": 13}"
I'll take 20 apples,add,apples,20,success,"{""action"": ""add"", ""product"": ""apples"", ""quantity"": 20}"
Can I get 14 treats,add,treats,14,success,"{""action"": ""add"", ""product"": ""treats"", ""quantity"": 14}"
Take out 9 rice,remove,rice,9,success,"{""action"": ""remove"", ""product"": ""rice"", ""quantity"": 9}"
Please put 20 spinach in my cart,add,spinach,20,success,"{""action"": ""add"", ""product"": ""spinach"", ""quantity"": 20}"
Add 14 pasta,add,pasta,14,success,"{""action"": ""add"", ""product"": ""pasta"", ""quantity"": 14}"
Can you add 11 bulbs,add,bulbs,11,success,"{""action"": ""add"", ""product"": ""bulbs"", ""quantity"": 11}"
Delete 11 soap,delete,soap,11,success,"{""action"": ""delete"", ""product"": ""soap"", ""quantity"": 11}"
Please remove 3 milk,remove,milk,3,success,"{""action"": ""remove"", ""product"": ""milk"", ""quantity"": 3}"
Remove 9 units of gelato,remove,gelato,9,success,"{""action"": ""remove"", ""product"": ""gelato"", ""quantity"": 9}"
Add 4 of pepper,add,pepper,4,success,"{""action"": ""add"", ""product"": ""pepper"", ""quantity"": 4}"
Add 19 packs of broccoli,Add,broccoli,19,success,"{""action"": ""Add"", ""product"": ""broccoli"", ""quantity"": 19}"
I'd like 16 onions,add,onions,16,success,"{
  ""action"": ""add"",
  ""product"": ""onions"",
  ""quantity"": 16
}"
Take away 19 more sugar,remove,sugar,19,success,"{""action"": ""remove"", ""product"": ""sugar"", ""quantity"": 19}"
Cancel 8 juice,remove,juice,8,success,"{""action"": ""remove"", ""product"": ""juice"", ""quantity"": 8}"
Remove 17 units of diapers,remove,diapers,17,success,"{""action"": ""remove"", ""product"": ""diapers"", ""quantity"": 17}"
Please delete 14 juice,delete,juice,14,success,"{""action"": ""delete"", ""product"": ""juice"", ""quantity"": 14}"
I'd like 1 bellpeppers,add,bellpeppers,1,success,"{""action"": ""add"", ""product"": ""bellpeppers"", ""quantity"": 1}"
Throw in 11 bread,add,bread,11,success,"{""action"": ""add"", ""product"": ""bread"", ""quantity"": 11}"
I'll take 5 cereal,add,cereal,5,success,"{""action"": ""add"", ""product"": ""cereal"", ""quantity"": 5}"
Can you take out 16 raspberries,remove,rasberries,16,success,"{""action"": ""remove"", ""product"": ""rasberries"", ""quantity"": 16}"
Delete 16 butter from my cart,remove,butter,16,success,"{""action"": ""remove"", ""product"": ""butter"", ""quantity"": 16}"
I'd like to add 13 eggs,add,eggs,13,success,"{""action"": ""add"", ""product"": ""eggs"", ""quantity"": 13}"
Add 5 potatoes,add,potatoes,5,success,"{""action"": ""add"", ""product"": ""potatoes"", ""quantity"": 5}"
Please remove 14 broccoli,remove,broccoli,14,success,"{""action"": ""remove"", ""product"": ""broccoli"", ""quantity"": 14}"
Please include 7 blueberries,add,blueberries,7,success,"{""action"": ""add"", ""product"": ""blueberries"", ""quantity"": 7}"
Remove 15 units of mushrooms,remove,mushrooms,15,success,"{""action"": ""remove"", ""product"": ""mushrooms"", ""quantity"": 15}"
Put 2 kibble in the shopping cart,add,kibble,2,success,"{""action"": ""add"", ""product"": ""kibble"", ""quantity"": 2}"
I'll take 2 batteries,take,batteries,2,success,"{
  ""action"": ""take"",
  ""product"": ""batteries"",
  ""quantity"": 2
}"
Add 11 flour to my cart,add,flour,11,success,"{""action"": ""add"", ""product"": ""flour"", ""quantity"": 11}"
Remove 19 bulbs from my cart,remove,bulbs,19,success,"{""action"": ""remove"", ""product"": ""bulbs"", ""quantity"": 19}"
I want to take out 6 soda,remove,soda,6,success,"{""action"": ""remove"", ""product"": ""soda"", ""quantity"": 6}"
Remove 16 of salmon,remove,salmon,16,success,"{""action"": ""remove"", ""product"": ""salmon"", ""quantity"": 16}"
I need 14 detergent added,add,detergent,14,success,"{""action"": ""add"", ""product"": ""detergent"", ""quantity"": 14}"
I'd like 6 tea,add,tea,6,success,"{""action"": ""add"", ""product"": ""tea"", ""quantity"": 6}"
Take away 6 more toothbrush,remove,toothbrush,6,success,"{""action"": ""remove"", ""product"": ""toothbrush"", ""quantity"": 6}"
Can you add 1 cucumbers,add,cucumbers,1,success,"{
  ""action"": ""add"",
  ""product"": ""cucumbers"",
  ""quantity"": 1
}"
I need to remove 20 oliveoil,remove,oliveoil,20,success,"{""action"": ""remove"", ""product"": ""oliveoil"", ""quantity"": 20}"
Remove 12 packs of kibble,remove,kibble,12,success,"{""action"": ""remove"", ""product"": ""kibble"", ""quantity"": 12}"
Add 1 of mushrooms,add,mushrooms,1,success,"{""action"": ""add"", ""product"": ""mushrooms"", ""quantity"": 1}"
Please put 11 limes in my cart,add,limes,11,success,"{""action"": ""add"", ""product"": ""limes"", ""quantity"": 11}"
Please take away 12 cucumbers,remove,cucumbers,12,success,"{""action"": ""remove"", ""product"": ""cucumbers"", ""quantity"": 12}"
I need 19 eggs added,add,eggs,19,success,"{""action"": ""add"", ""product"": ""eggs"", ""quantity"": 19}"
I'll take 1 beef,take,beef,1,success,"{
  ""action"": ""take"",
  ""product"": ""beef"",
  ""quantity"": 1
}"
Include 5 soap in my order,add,soap,5,success,"{""action"": ""add"", ""product"": ""soap"", ""quantity"": 5}"
I want 18 gelato,add,gelato,18,success,"{""action"": ""add"", ""product"": ""gelato"", ""quantity"": 18}"
Please include 18 cola,add,cola,18,success,"{""action"": ""add"", ""product"": ""cola"", ""quantity"": 18}"
Take out 2 coffee,remove,coffee,2,success,"{
  ""action"": ""remove"",
  ""product"": ""coffee"",
  ""quantity"": 2
}"
Remove 1 units of litter,remove,litter,1,success,"{""action"": ""remove"", ""product"": ""litter"", ""quantity"": 1}"
Remove 13 more bread,remove,bread,13,success,"{""action"": ""remove"", ""product"": ""bread"", ""quantity"": 13}"
Drop 11 beef,remove,beef,11,success,"{""action"": ""remove"", ""product"": ""beef"", ""quantity"": 11}"
Delete 14 fries,remove,fries,14,success,"{""action"": ""remove"", ""product"": ""fries"", ""quantity"": 14}"
Please take away 19 foil,remove,foil,19,success,"{""action"": ""remove"", ""product"": ""foil"", ""quantity"": 19}"
Remove 13 more cheddar,remove,cheddar,13,success,"{""action"": ""remove"", ""product"": ""cheddar"", ""quantity"": 13}"
Add 20 of pepper,add,pepper,20,success,"{""action"": ""add"", ""product"": ""pepper"", ""quantity"": 20}"
Please put 18 coffee in my cart,add,coffee,18,success,"{""action"": ""add"", ""product"": ""coffee"", ""quantity"": 18}"
Cancel 18 bags,remove,bags,18,success,"{""action"": ""remove"", ""product"": ""bags"", ""quantity"": 18}"
Please delete 15 tuna,delete,tuna,15,success,"{""action"": ""delete"", ""product"": ""tuna"", ""quantity"": 15}"
Can you remove 13 pepper,remove,pepper,13,success,"{""action"": ""remove"", ""product"": ""pepper"", ""quantity"": 13}"
Add 13 units of chicken,add,chicken,13,success,"{""action"": ""add"", ""product"": ""chicken"", ""quantity"": 13}"
Add 13 units of bread,add,bread,13,success,"{""action"": ""add"", ""product"": ""bread"", ""quantity"": 13}"
Drop 3 apples,remove,apples,3,success,"{""action"": ""remove"", ""product"": ""apples"", ""quantity"": 3}"
Can you take out 8 gelato,remove,gelato,8,success,"{""action"": ""remove"", ""product"": ""gelato"", ""quantity"": 8}"
Take out 7 tissues,remove,tissues,7,success,"{""action"": ""remove"", ""product"": ""tissues"", ""quantity"": 7}"
Drop 3 watermelon,remove,watermelon,3,success,"{""action"": ""remove"", ""product"": ""watermelon"", ""quantity"": 3}"
Remove 4 of bread,remove,bread,4,success,"{""action"": ""remove"", ""product"": ""bread"", ""quantity"": 4}"
Put in 14 foil,add,foil,14,success,"{
  ""action"": ""add"",
  ""product"": ""foil"",
  ""quantity"": 14
}"
I don't need 17 bulbs,remove,bulbs,17,success,"{""action"": ""remove"", ""product"": ""bulbs"", ""quantity"": 17}"
I want to add 15 wrap,add,wrap,15,success,"{""action"": ""add"", ""product"": ""wrap"", ""quantity"": 15}"
Remove 17 treats from my cart,remove,treats,17,success,"{""action"": ""remove"", ""product"": ""treats"", ""quantity"": 17}"
Remove 19 more bellpeppers,remove,bellpeppers,19,success,"{""action"": ""remove"", ""product"": ""bellpeppers"", ""quantity"": 19}"
I'd like to remove 19 mushrooms,remove,mushrooms,19,success,"{""action"": ""remove"", ""product"": ""mushrooms"", ""quantity"": 19}"
Delete 2 shampoo,delete,shampoo,2,success,"{
  ""action"": ""delete"",
  ""product"": ""shampoo"",
  ""quantity"": 2
}"
Please include 8 foil,add,foil,8,success,"{""action"": ""add"", ""product"": ""foil"", ""quantity"": 8}"
Add 16 blueberries to my cart,add,blueberries,16,success,"{""action"": ""add"", ""product"": ""blueberries"", ""quantity"": 16}"
I need 10 potatoes added,add,potatoes,10,success,"{""action"": ""add"", ""product"": ""potatoes"", ""quantity"": 10}"
Include 19 sugar,include,sugar,19,success,"{
  ""action"": ""include"",
  ""product"": ""sugar"",
  ""quantity"": 19
}"
Remove 8 toothpaste from my cart,remove,toothpaste,8,success,"{""action"": ""remove"", ""product"": ""toothpaste"", ""quantity"": 8}"
Remove 14 eggs,remove,eggs,14,success,"{""action"": ""remove"", ""product"": ""eggs"", ""quantity"": 14}"
Please delete 1 rice,delete,rice,1,success,"{""action"": ""delete"", ""product"": ""rice"", ""quantity"": 1}"
Take away 1 more blueberries,remove,blueberries,1,success,"{""action"": ""remove"", ""product"": ""blueberries"", ""quantity"": 1}"
I want to remove 1 bread,remove,bread,1,success,"{""action"": ""remove"", ""product"": ""bread"", ""quantity"": 1}"
I want 4 cucumbers,add,cucumbers,4,success,"{""action"": ""add"", ""product"": ""cucumbers"", ""quantity"": 4}"
Please add 9 juice,add,juice,9,success,"{""action"": ""add"", ""product"": ""juice"", ""quantity"": 9}"
Take away 11 sweetpotatoes,remove,sweetpotatoes,11,success,"{""action"": ""remove"", ""product"": ""sweetpotatoes"", ""quantity"": 11}"
Take away 14 more gelato,remove,gelato,14,success,"{""action"": ""remove"", ""product"": ""gelato"", ""quantity"": 14}"
Please include 15 gelato,add,gelato,15,success,"{""action"": ""add"", ""product"": ""gelato"", ""quantity"": 15}"
I'll take 18 conditioner,take,conditioner,18,success,"{""action"": ""take"", ""product"": ""conditioner"", ""quantity"": 18}"
I need 1 oliveoil,add,oliveoil,1,success,"{""action"": ""add"", ""product"": ""oliveoil"", ""quantity"": 1}"
Throw in 3 pasta,add,pasta,3,success,"{""action"": ""add"", ""product"": ""pasta"", ""quantity"": 3}"
Need 1 lemons,add,lemons,1,success,"{""action"": ""add"", ""product"": ""lemons"", ""quantity"": 1}"
Cancel 1 onions,remove,onions,1,success,"{""action"": ""remove"", ""product"": ""onions"", ""quantity"": 1}"
I'd like 7 oranges,add,oranges,7,success,"{""action"": ""add"", ""product"": ""oranges"", ""quantity"": 7}"
Remove 12 more tomatoes,remove,tomatoes,12,success,"{""action"": ""remove"", ""product"": ""tomatoes"", ""quantity"": 12}"
Could you remove 5 raspberries,remove,rasberries,5,success,"{""action"": ""remove"", ""product"": ""rasberries"", ""quantity"": 5}"
Add 3 avocados,add,avocados,3,success,"{""action"": ""add"", ""product"": ""avocados"", ""quantity"": 3}"
Remove 11 of vegetables,remove,vegetables,11,success,"{""action"": ""remove"", ""product"": ""vegetables"", ""quantity"": 11}"
Remove 13 eggs from my cart,remove,eggs,13,success,"{""action"": ""remove"", ""product"": ""eggs"", ""quantity"": 13}"
I'd like 19 bananas,add,bananas,19,success,"{""action"": ""add"", ""product"": ""bananas"", ""quantity"": 19}"
I'd like 6 granola,add,granola,6,success,"{
  ""action"": ""add"",
  ""product"": ""granola"",
  ""quantity"": 6
}"
Delete 15 rice from my cart,remove,rice,15,success,"{""action"": ""remove"", ""product"": ""rice"", ""quantity"": 15}"
Please take away 10 bananas,remove,bananas,10,success,"{""action"": ""remove"", ""product"": ""bananas"", ""quantity"": 10}"
Can you remove 17 paper,remove,paper,17,success,"{""action"": ""remove"", ""product"": ""paper"", ""quantity"": 17}"
Take away 8 batteries,remove,batteries,8,success,"{""action"": ""remove"", ""product"": ""batteries"", ""quantity"": 8}"
I want 9 tea,add,tea,9,success,"{""action"": ""add"", ""product"": ""tea"", ""quantity"": 9}"
Need 15 beef,add,beef,15,success,"{""action"": ""add"", ""product"": ""beef"", ""quantity"": 15}"
Can you take out 16 yogurt,remove,yogurt,16,success,"{""action"": ""remove"", ""product"": ""yogurt"", ""quantity"": 16}"
Put 16 salt in my cart,add,salt,16,success,"{""action"": ""add"", ""product"": ""salt"", ""quantity"": 16}"
Could you add 14 sunfloweroil,add,sunfloweroil,14,success,"{""action"": ""add"", ""product"": ""sunfloweroil"", ""quantity"": 14}"
Add 1 more bread,add,bread,1,success,"{""action"": ""add"", ""product"": ""bread"", ""quantity"": 1}"
Put 6 chicken in the shopping cart,add,chicken,6,success,"{""action"": ""add"", ""product"": ""chicken"", ""quantity"": 6}"
Can you take out 5 eggplant,remove,eggplant,5,success,"{""action"": ""remove"", ""product"": ""eggplant"", ""quantity"": 5}"
Add 3 more coffee,add,coffee,3,success,"{""action"": ""add"", ""product"": ""coffee"", ""quantity"": 3}"
Add 5 tomatoes please,add,tomatoes,5,success,"{""action"": ""add"", ""product"": ""tomatoes"", ""quantity"": 5}"
Take 8 oatmeal out of my cart,remove,oatmeal,8,success,"{""action"": ""remove"", ""product"": ""oatmeal"", ""quantity"": 8}"
I want to take out 1 soap,remove,soap,1,success,"{""action"": ""remove"", ""product"": ""soap"", ""quantity"": 1}"
Please add 7 bread,add,bread,7,success,"{""action"": ""add"", ""product"": ""bread"", ""quantity"": 7}"
I need 14 milk,add,milk,14,success,"{""action"": ""add"", ""product"": ""milk"", ""quantity"": 14}"
I want to remove 20 cheddar,remove,cheddar,20,success,"{""action"": ""remove"", ""product"": ""cheddar"", ""quantity"": 20}"
I'd like to add 9 yogurt,add,yogurt,9,success,"{
  ""action"": ""add"",
  ""product"": ""yogurt"",
  ""quantity"": 9
}"
Remove 16 of cucumbers,remove,cucumbers,16,success,"{""action"": ""remove"", ""product"": ""cucumbers"", ""quantity"": 16}"
Please include 1 pepper,add,pepper,1,success,"{""action"": ""add"", ""product"": ""pepper"", ""quantity"": 1}"
Add 9 more foil,add,foil,9,success,"{""action"": ""add"", ""product"": ""foil"", ""quantity"": 9}"
Remove 4 units of pineapple,remove,pineapple,4,success,"{""action"": ""remove"", ""product"": ""pineapple"", ""quantity"": 4}"
Put 4 zucchini in my cart,add,zucchini,4,success,"{""action"": ""add"", ""product"": ""zucchini"", ""quantity"": 4}"
Please put 20 litter in my cart,add,litter,20,success,"{""action"": ""add"", ""product"": ""litter"", ""quantity"": 20}"
Put in 2 cheddar,add,cheddar,2,success,"{""action"": ""add"", ""product"": ""cheddar"", ""quantity"": 2}"
Remove 20 packs of brownsugar,remove,brownsugar,20,success,"{""action"": ""remove"", ""product"": ""brownsugar"", ""quantity"": 20}"
Get rid of 16 apples,remove,apples,16,success,"{""action"": ""remove"", ""product"": ""apples"", ""quantity"": 16}"
Get rid of 19 sunfloweroil,remove,sunfloweroil,19,success,"{""action"": ""remove"", ""product"": ""sunfloweroil"", ""quantity"": 19}"
I'd like to add 20 cereal,add,cereal,20,success,"{""action"": ""add"", ""product"": ""cereal"", ""quantity"": 20}"
I want to add 19 pineapple,add,pineapple,19,success,"{""action"": ""add"", ""product"": ""pineapple"", ""quantity"": 19}"
Remove 9 units of garlic,remove,garlic,9,success,"{""action"": ""remove"", ""product"": ""garlic"", ""quantity"": 9}"
Cancel 20 bulbs,remove,bulbs,20,success,"{""action"": ""remove"", ""product"": ""bulbs"", ""quantity"": 20}"
Can you add 12 blueberries,add,blueberries,12,success,"{""action"": ""add"", ""product"": ""blueberries"", ""quantity"": 12}"
Put 17 soda in the shopping cart,add,soda,17,success,"{""action"": ""add"", ""product"": ""soda"", ""quantity"": 17}"
Include 12 granola in my order,add,granola,12,success,"{""action"": ""add"", ""product"": ""granola"", ""quantity"": 12}"
Please grab 12 onions,add,onions,12,success,"{""action"": ""add"", ""product"": ""onions"", ""quantity"": 12}"
Delete 14 toothpaste from my cart,remove,toothpaste,14,success,"{""action"": ""remove"", ""product"": ""toothpaste"", ""quantity"": 14}"
Please include 3 cheddar,add,cheddar,3,success,"{""action"": ""add"", ""product"": ""cheddar"", ""quantity"": 3}"
Could you remove 2 cereal,remove,cereal,2,success,"{""action"": ""remove"", ""product"": ""cereal"", ""quantity"": 2}"
Remove 11 of fries,remove,fries,11,success,"{""action"": ""remove"", ""product"": ""fries"", ""quantity"": 11}"
Add 2 packs of diapers,add,diapers,2,success,"{""action"": ""add"", ""product"": ""diapers"", ""quantity"": 2}"
Please include 17 bread,add,bread,17,success,"{""action"": ""add"", ""product"": ""bread"", ""quantity"": 17}"
Remove 14 of mozzarella,remove,mozzarella,14,success,"{""action"": ""remove"", ""product"": ""mozzarella"", ""quantity"": 14}"
Get rid of 14 rice,remove,rice,14,success,"{""action"": ""remove"", ""product"": ""rice"", ""quantity"": 14}"
Take away 10 juice,remove,juice,10,success,"{""action"": ""remove"", ""product"": ""juice"", ""quantity"": 10}"
Get rid of 2 kibble,remove,kibble,2,success,"{""action"": ""remove"", ""product"": ""kibble"", ""quantity"": 2}"
Add 10 of rice,add,rice,10,success,"{""action"": ""add"", ""product"": ""rice"", ""quantity"": 10}"
Remove 10 more pizza,remove,pizza,10,success,"{""action"": ""remove"", ""product"": ""pizza"", ""quantity"": 10}"
Cancel 11 coffee,remove,coffee,11,success,"{""action"": ""remove"", ""product"": ""coffee"", ""quantity"": 11}"
Add 5 units of milk,add,milk,5,success,"{""action"": ""add"", ""product"": ""milk"", ""quantity"": 5}"
Throw in 18 wipes,add,wipes,18,success,"{""action"": ""add"", ""product"": ""wipes"", ""quantity"": 18}"
Delete 4 vegetables,delete,vegetables,4,success,"{""action"": ""delete"", ""product"": ""vegetables"", ""quantity"": 4}"
Take out 9 cola,remove,cola,9,success,"{""action"": ""remove"", ""product"": ""cola"", ""quantity"": 9}"
Get me 20 salmon,add,salmon,20,success,"{""action"": ""add"", ""product"": ""salmon"", ""quantity"": 20}"
Please remove 15 bulbs,remove,bulbs,15,success,"{""action"": ""remove"", ""product"": ""bulbs"", ""quantity"": 15}"
Can you remove 11 cucumbers,remove,cucumbers,11,success,"{""action"": ""remove"", ""product"": ""cucumbers"", ""quantity"": 11}"
Remove 10 units of vegetables,remove,vegetables,10,success,"{""action"": ""remove"", ""product"": ""vegetables"", ""quantity"": 10}"
Include 18 pineapple,add,pineapple,18,success,"{
  ""action"": ""add"",
  ""product"": ""pineapple"",
  ""quantity"": 18
}"
Please put 5 spaghetti in my cart,add,spaghetti,5,success,"{""action"": ""add"", ""product"": ""spaghetti"", ""quantity"": 5}"
Add 14 more sugar,add,sugar,14,success,"{""action"": ""add"", ""product"": ""sugar"", ""quantity"": 14}"
Include 3 paper,include,paper,3,success,"{
  ""action"": ""include"",
  ""product"": ""paper"",
  ""quantity"": 3
}"
Add 17 batteries,add,batteries,17,success,"{""action"": ""add"", ""product"": ""batteries"", ""quantity"": 17}"
Add 1 packs of conditioner,add,conditioner,1,success,"{""action"": ""add"", ""product"": ""conditioner"", ""quantity"": 1}"
Include 6 vegetables in my order,add,vegetables,6,success,"{""action"": ""add"", ""product"": ""vegetables"", ""quantity"": 6}"
Please delete 2 detergent,delete,detergent,2,success,"{""action"": ""delete"", ""product"": ""detergent"", ""quantity"": 2}"
